34.80.100.64:18443#🇹🇼 TW
104.43.108.189:10086#🇸🇬 SG
114.214.202.60:8443#🇨🇳 CN
154.21.82.7:50008#🇺🇸 US
192.9.157.76:443#🇺🇸 US
165.1.79.60:8443#🇺🇸 US
192.9.135.122:8443#🇺🇸 US
141.148.212.70:443#IN
146.70.175.171:443#NL
129.146.131.3:443#🇺🇸 US
34.96.169.1:28817#🇭🇰 HK
8.210.3.24:8443#🇭🇰 HK
8.217.250.222:2053#🇭🇰 HK
8.217.207.60:2053#🇭🇰 HK
47.74.27.211:2053#🇯🇵 JP
47.74.27.211:8443#🇯🇵 JP
47.245.41.84:2083#🇯🇵 JP
47.245.40.161:2083#🇯🇵 JP
47.245.30.65:2096#🇯🇵 JP
47.245.30.65:8443#🇯🇵 JP
47.245.41.84:2087#🇯🇵 JP
47.245.9.228:2087#🇯🇵 JP
47.245.41.84:2096#🇯🇵 JP
47.245.30.144:2087#🇯🇵 JP
47.245.30.144:2096#🇯🇵 JP
47.245.30.144:2053#🇯🇵 JP
47.245.30.144:8443#🇯🇵 JP
47.245.30.144:2083#🇯🇵 JP
47.245.58.175:2053#🇯🇵 JP
8.209.248.161:2096#🇯🇵 JP
47.245.58.175:2087#🇯🇵 JP
47.74.58.51:2053#🇯🇵 JP
47.74.27.211:2087#🇯🇵 JP
47.74.27.211:2083#🇯🇵 JP
